QTD_ITENS;50
QTD_MOCHILAS;3
CAPACIDADES;423;471;407
ITEM;PESO;VALOR
0;50;484
1;80;790
2;76;650
3;62;522
4;50;551
5;33;336
6;32;312
7;34;319
8;26;264
9;39;384
10;70;595
11;58;549
12;80;785
13;76;776
14;26;298
15;26;250
16;78;918
17;46;430
18;31;253
19;36;389
20;66;531
21;72;682
22;57;654
23;47;482
24;51;574
25;35;349
26;74;809
27;74;702
28;58;540
29;56;511
30;30;293
31;26;268
32;36;360
33;29;311
34;69;731
35;67;644
36;41;436
37;76;837
38;33;369
39;35;291
40;79;834
41;25;261
42;68;815
43;25;251
44;67;695
45;22;257
46;34;405
47;42;401
48;35;334
49;78;758
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1
1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;0
2;0;1;1;1;0;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;0;1;1
3;1;0;1;1;0;1;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
4;1;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;1
5;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;1;1
6;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1
7;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1;1
8;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0
9;1;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1
10;0;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0
11;0;1;0;0;1;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1
12;0;0;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;1;0;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0
13;0;1;0;0;1;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1
14;0;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0
15;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1
16;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1
17;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1
18;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1
