QTD_ITENS;50
QTD_MOCHILAS;3
CAPACIDADES;416;566;420
ITEM;PESO;VALOR
0;63;573
1;32;351
2;32;285
3;50;402
4;63;580
5;41;481
6;77;730
7;46;479
8;57;458
9;54;550
10;51;486
11;80;834
12;44;373
13;44;498
14;63;740
15;76;686
16;29;278
17;60;653
18;70;740
19;51;600
20;77;661
21;79;760
22;28;332
23;51;435
24;26;249
25;22;197
26;43;462
27;39;365
28;70;647
29;52;566
30;25;265
31;76;888
32;64;670
33;21;172
34;45;361
35;27;219
36;34;282
37;37;372
38;34;387
39;43;465
40;71;759
41;80;832
42;30;312
43;78;731
44;36;299
45;60;624
46;76;652
47;32;277
48;72;580
49;56;469
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0
1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0
2;0;0;1;0;0;1;1;0;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;0
3;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0
4;1;0;0;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0
5;1;1;1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0
6;0;0;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
7;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0
8;0;1;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1
9;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1
