QTD_ITENS;50
QTD_MOCHILAS;3
CAPACIDADES;429;464;558
ITEM;PESO;VALOR
0;32;271
1;80;804
2;77;775
3;58;606
4;62;718
5;72;738
6;57;500
7;73;644
8;40;331
9;26;261
10;53;565
11;42;476
12;63;653
13;73;786
14;48;525
15;59;552
16;30;241
17;24;267
18;49;502
19;55;481
20;44;505
21;27;258
22;28;281
23;73;661
24;45;364
25;28;275
26;71;688
27;65;695
28;20;162
29;27;285
30;69;817
31;35;299
32;31;302
33;27;296
34;47;513
35;21;183
36;43;391
37;46;458
38;79;755
39;52;575
40;20;231
41;32;373
42;71;784
43;24;201
44;39;380
45;76;834
46;50;515
47;55;474
48;75;849
49;44;414
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0
1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0
2;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1
3;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1
4;0;1;1;0;1;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1
5;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0
6;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0
7;0;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0
8;1;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1
9;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1
10;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
11;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0
12;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0
13;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;1;0
14;0;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0
15;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;1;1
16;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1
17;1;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1
18;0;0;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0
19;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0
20;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0
21;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0
22;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1
23;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;1;1;1;1;1
24;1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;1
25;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0
26;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
27;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0
28;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
29;1;1;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0
30;1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
31;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0
32;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1
33;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;1;0
34;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0
35;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0
36;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1
37;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0
38;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0
