QTD_ITENS;50
QTD_MOCHILAS;3
CAPACIDADES;543;509;505
ITEM;PESO;VALOR
0;43;421
1;57;590
2;25;250
3;73;809
4;35;341
5;64;681
6;29;297
7;41;408
8;73;705
9;75;732
10;60;654
11;34;272
12;47;451
13;46;380
14;20;221
15;78;739
16;76;695
17;33;322
18;23;272
19;24;198
20;53;453
21;78;881
22;53;455
23;36;424
24;56;578
25;24;225
26;45;502
27;76;696
28;80;774
29;61;547
30;20;160
31;52;449
32;23;196
33;31;299
34;57;683
35;60;543
36;26;274
37;73;740
38;47;453
39;70;713
40;66;674
41;20;169
42;36;391
43;80;749
44;33;274
45;74;867
46;56;516
47;33;353
48;71;802
49;27;292
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;1;0;1
1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0
2;1;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;0;0;0;0;1;0
3;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1
4;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1
5;1;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1
6;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1
7;0;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
8;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1
9;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1
10;0;0;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0
11;1;0;1;0;1;1;0;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0
12;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;1;0;0;0;1
13;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;1
14;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0
15;1;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1
16;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0
17;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;1
18;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1
19;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1
20;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1
21;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1
